Year,Young.Dependents.Percentage,Working.Age.Percentage,Elderly.Dependents.Percentage,EnrollmentRate,FertilityRate
1990,34.9647260976227,50.61786097856922,14.417412923808081,69.67681,2.0692
1991,34.771930980296595,50.771170847765724,14.456898171937679,70.96456,2.0541
1992,34.645622402110995,50.85378864997359,14.500588947915425,75.46257,2.0389
1993,34.54580487450416,50.97764741410495,14.476547711390895,77.51623,2.0129
1994,34.41671187776329,51.128525264082555,14.454762858154153,78.36828,1.9946
1995,34.24250008556298,51.327092054895196,14.430407859541816,79.44046,1.9716
1996,34.07471449220029,51.56539733667855,14.359888171121158,78.83336,1.9707
1997,34.00003393614204,51.733779236821775,14.266186827036181,74.67054999999999,1.9677
1998,34.000804468832634,51.84215004778549,14.15704548338188,70.50774,1.9921
1999,34.012457604381865,51.94184685788535,14.04569553773278,71.15243,2.0051
2000,34.01504014689659,52.040932372906056,13.944027480197352,72.73282999999999,2.0465
2001,34.00294743881816,52.11479283931381,13.882259721868031,74.31322999999999,2.0272
2002,33.969752861445976,52.205227681401325,13.8250194571527,75.89363,2.0195
2003,33.894493809722384,52.330288411987745,13.775217778289871,77.47403,2.0421
2004,33.756345534961056,52.47808376572045,13.765570699318486,79.05443,2.0479
2005,33.56564505438537,52.645547602783324,13.7888073428313,80.63483,2.0575
2006,33.37307153516122,52.80117730390155,13.825751160937225,81.64627875,2.1016
2007,33.22228250577908,52.88436766986899,13.893349824351928,82.6577275,2.1118
2008,33.0891677301435,52.87803017559226,14.032802094264238,83.66917624999999,2.0683
2009,32.93153920798196,52.86715014423417,14.20131064778387,84.68062499999999,1.9997
2010,32.749041814885075,52.88497647153263,14.365981713582295,85.69207375,1.9325
2011,32.58623232428298,52.81574718517614,14.598020490540875,86.7035225,1.8943
2012,32.44693416872568,52.63293122448811,14.920134606786197,87.71497125,1.8779
2013,32.28324092754652,52.472569644696556,15.244189427756918,88.72642,1.8558
2014,32.07550632341761,52.437015869514916,15.487477807067476,88.62687,1.8593
2015,31.827143555775816,52.49022085992843,15.682635584295754,88.88941,1.8424
2016,31.56819761173344,52.39760026441661,16.03420212384995,88.83505,1.8127
2017,31.319745768291035,52.25019810616357,16.430056125545395,88.16739,1.7598
2018,31.079947441109674,52.15233720285626,16.76771535603407,88.29918,1.7179
2019,30.846550985672337,51.986204647228604,17.16724436709906,87.88871,1.6892
2020,30.59944936188248,51.785206492363045,17.615344145754474,87.56766,1.6428
